2015;les yeux bandes
21/02/2017;non stop       
22/02/2017;the thinning       
23/02/2017;the angels share      
24/02/2017;safe house       
25/02/2017;elle        
27/02/2017;we don't live here anymore    
28/02/2017;gangster        
28/02/2017;le silence       
29/02/2017;truands        
02/03/2017;The Preppie Connection      
03/03/2017;the end       
05/03/2017;reparer les vivants      
06/03/2017;Que Dios Nos Perdone     
06/03/2017;MR73        
07/03/2017;the adderall diarie      
08/03/2017;saving general yang      
08/03/2017;a dark truth      
09/03/2017;a line in the sand    
09/03/2017;nocturnal animals       
10/03/2017;predestination        
11/03/2017;dark web       
14/03/2017;Ares        
20/03/2017;take shelter       
21/03/2017;je ne suis pas un salaud   
24/03/2017;aux yeux de tous     
27/03/2017;split        
01/04/2017;detour        
01/04/2017;le gang des antillais     
26/04/2017;sand castle       
03/05/2017;gold        
15/05/2017;la mecanique de l'ombre     
24/05/2017;the escort       
03/06/2017;imigration game       
07/06/2017;war machine       
10/06/2017;la guerre a paris     
13/06/2017;at the end of the tunnel   
13/06/2017;the founder       
14/06/2017;shimmer lake       
15/06/2017;arrival        
18/06/2017;babysitting        
23/06/2017;allibi        
26/06/2017;miss sloane       
27/06/2017;equity        
28/06/2017;dode hoek       
30/06/2017;American Pastoral       
19/07/2017;free fire       
19/07/2017;you get me      
20/07/2017;trepass against us      
21/07/2017;felony        
21/07/2017;de plus belle      
22/07/2017;tramps        
23/07/2017;victoria        
28/07/2017;sex doll       
30/07/2017;shot caller       
31/07/2017;unforgettable        
31/07/2017;l'ideal        
01/08/2017;the whole truth      
01/08/2017;ouvert la nuit      
02/08/2017;the handmaiden       
03/08/2017;saint amour       
04/08/2017;going in style      
07/08/2017;toril        
08/08/2017;bread and roses      
06/09/2017;alien covenant       
06/09/2017;les tetes de l'emploi     
13/09/2017;chacun sa vie      
14/10/2017;the dark tower      
14/10/2017;the wall       
27/10/2017;the assignement       
29/10/2017;jour j       
02/11/2017;unlocked        
03/11/2017;100 streets       
04/11/2017;6 days       
06/11/2017;Le divan de staline     
13/11/2017;Guernica        
20/11/2017;Grand froid       
25/11/2017;les ex       
10/12/2017;Juillet Aout       
11/12/2017;Faut pas lui dire     
12/12/2017;Act of valor      
13/12/2017;American made       
15/12/2017;irreprochable        
17/12/2017;la fille de brest     
03/01/2018;Wind river       
04/01/2018;Baby driver       
06/01/2018;Mauvaise graine       
08/01/2018;La gueule de l'autre     
12/01/2018;7 jours pas plus     
16/01/2018;the disappearance of alice creed    
17/01/2018;American Assassin       
18/01/2018;what happened to monday or (seven sisters)  
23/01/2018;cessez le feu      
24/01/2018;Rebel in the rye     
25/01/2018;Bonne Pomme       
25/01/2018;A moi seule      
26/01/2018;room in rome      
26/01/2018;la fille de monaco     
28/01/2018;le prix du succes     
29/01/2018;Les hommes du feu     
30/01/2018;collateral beauty       
31/01/2018;Roman J Israel ESQ     
01/02/2018;Mon Garcon       
12/02/2018;l'amant double       
13/02/2018;Cruel        
14/02/2018;Darkest hour       
15/02/2018;Bacalaureat        
16/02/2018;Zona hostile       
17/02/2018;l'ecole bussoniere       
19/02/2018;memorial day       
23/02/2018;le sens de la fete    
10/03/2018;handsome devil       
11/03/2018;voir du pays      
12/03/2018;hounds of love      
13/03/2018;criminal squad       
15/03/2018;Newness        
18/03/2018;Jalouse        
19/03/2018;les fantomes d'ismael      
26/03/2018;ce qui nous lie     
27/03/2018;le brio       
28/03/2018;tout nous separe      
29/03/2018;all the money in the world   
08/04/2018;especes menacees       
14/04/2018;maze runner the death cure    
05/05/2018;12 strong       
05/05/2018;otez moi d'un doute     
06/05/2018;l'autre monde       
13/05/2018;the son of no one    
14/05/2018;brothers of the wind     
16/05/2018;red sparrow       
16/05/2018;anon        
17/05/2018;the 15 17 to Paris    
18/05/2018;Tueurs        
19/05/2018;revanche        
20/05/2018;Brillantissime        
22/05/2018;l'odyssee        
24/05/2018;Strangled        
05/06/2018;toi et moi      
08/06/2018;true crime       
09/06/2018;the square       
10/06/2018;other life       
11/06/2018;fahrenheit451        
11/07/2018;manchester by the sea     
12/07/2018;sparring        
17/07/2018;the post       
18/07/2018;el ombre de las mil caras   
19/07/2018;battleship island       
31/07/2018;escape room       
03/08/2018;les derniers affranchis      
15/08/2018;je deteste les enfants des autres   
17/08/2018;place publique       
20/08/2018;normandie nue       
21/08/2018;loving pablo       
29/08/2018;l'un dans l'autre      
01/09/2018;comment c'est loin      
02/09/2018;land of mine      
04/09/2018;Amoureux de ma femme     
